[UID, JHJ0ekidS93_dk3145kIssW_Kj92rIesdDj]-
[TIME, 2015-04-29 16:05:36:73][010c, 16263][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:37:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:38:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:39:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:40:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:41:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:42:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:43:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:44:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:45:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:46:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:47:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:48:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:49:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:50:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:51:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:52:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:53:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:54:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:55:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:56:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:57:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:58:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:05:59:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:00:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:01:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:02:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:03:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:04:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:05:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:06:74][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:07:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:08:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:09:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:10:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:11:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:12:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:13:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:14:73][010c, 15999][010d, 163][0110, 56]-
[TIME, 2015-04-29 16:06:15:73][010c, 15999][010d, 163][0110, 56]-
